depth,avg_accuracy,avg_node_count
0,80.7047,9033.9
1,73.222,7
2,76.0702,52.65
3,78.4769,306.25
4,79.7766,907.1
5,79.7712,1756.5
6,80.1881,2682.55
7,80.562,3579.6
8,80.9028,4300.95
9,80.674,4929.4
10,80.6556,5512.55
