depth,avg_accuracy,avg_node_count
0,93.5,18.9
1,66.1667,3
2,93.1667,5
3,94,9
4,94,13.1
5,93.8333,15.4
6,93.8333,16.7
7,92.5,17.8
8,92,18.2
9,93.1667,17.5
10,93.1667,17.4
