depth,avg_accuracy,avg_node_count
0,95.1667,18.1
1,67,3
2,92.5,5
3,95.1667,8.9
4,94.3333,13.7
5,94.3333,15.8
6,93.1667,16.9
7,93.6667,17.1
8,95.3333,18.2
9,94,18.2
10,94,16.9
