depth,avg_accuracy,avg_node_count
0,80.6295,9075.95
1,69.828,7
2,75.6234,49.5
3,77.2209,311.3
4,78.7471,919.05
5,79.7229,1781.4
6,80.2718,2741.85
7,80.2487,3515.55
8,80.5589,4312.5
9,80.8652,4964.8
10,80.7892,5566.3
