depth,avg_accuracy,avg_node_count
0,81.5423,9354.95
1,71.5461,3
2,57.8397,7
3,72.8036,13.3
4,67.2801,27.15
5,76.0848,45.9
6,75.7984,71.15
7,79.9493,121.45
8,77.1043,179.35
9,76.821,256.1
10,79.283,343.4
