depth,avg_accuracy,avg_node_count
0,81.5891,9333.75
1,71.5024,3
2,66.8908,7
3,75.922,13.1
4,68.4516,27.25
5,79.4166,43.95
6,76.7273,70
7,77.234,118.7
8,76.249,180.85
9,79.8649,251.55
10,78.5667,338.7
