depth,avg_accuracy,avg_node_count
0,81.2275,8177.75
1,70.9143,7
2,74.6461,19
3,77.2125,43.75
4,77.7959,90
5,78.9252,203.5
6,79.5171,437.7
7,79.7321,770.5
8,81.173,1246.25
9,80.7424,1766.1
10,80.4906,2408.1
